"Страна","Ранг_начало_периода","Ранг_конец_периода","Изменение_по_модулю","Динамика_ранга"
Germany,,1,-,Недостаточно данных
France,1,2,"1 п.",Снижение
Armenia,,3,-,Недостаточно данных
Kyrgyzstan,,4,-,Недостаточно данных
Austria,10,5,"5 п.",Рост
Kazakhstan,4,6,"2 п.",Снижение
Finland,5,7,"2 п.",Снижение
Belarus,,8,-,Недостаточно данных
"Korea, Republic of",25,9,"16 п.",Рост
Slovakia,30,10,"20 п.",Рост
Poland,12,11,"1 п.",Рост
Switzerland,9,12,"3 п.",Снижение
Spain,23,13,"10 п.",Рост
Uzbekistan,,14,-,Недостаточно данных
Hungary,,15,-,Недостаточно данных
Australia,14,16,"2 п.",Снижение
Ukraine,,17,-,Недостаточно данных
Azerbaijan,,18,-,Недостаточно данных
Saudi Arabia,,19,-,Недостаточно данных
Cyprus,13,20,"7 п.",Снижение
Lithuania,26,21,"5 п.",Рост
Serbia,,22,-,Недостаточно данных
Latvia,7,23,"16 п.",Снижение
Estonia,18,24,"6 п.",Снижение
Mongolia,22,25,"3 п.",Снижение
Sweden,6,26,"20 п.",Снижение
New Zealand,32,27,"5 п.",Рост
Bulgaria,24,28,"4 п.",Снижение
Norway,8,29,"21 п.",Снижение
Malaysia,29,30,"1 п.",Снижение
Thailand,,31,-,Недостаточно данных
Egypt,,32,-,Недостаточно данных
"Moldova, Republic of",,33,-,Недостаточно данных
Denmark,20,34,"14 п.",Снижение
Luxembourg,,35,-,Недостаточно данных
Hong Kong,,36,-,Недостаточно данных
Jordan,27,37,"10 п.",Снижение
Brazil,,38,-,Недостаточно данных
Philippines,,39,-,Недостаточно данных
Qatar,,40,-,Недостаточно данных
Chile,38,41,"3 п.",Снижение
Monaco,,42,-,Недостаточно данных
Dominican Republic,,43,-,Недостаточно данных
Morocco,,44,-,Недостаточно данных
Macao,,45,-,Недостаточно данных
Andorra,,46,-,Недостаточно данных
Bahrain,,46,-,Недостаточно данных
Oman,,48,-,Недостаточно данных
"Tanzania, United Republic of",,48,-,Недостаточно данных
Senegal,,50,-,Недостаточно данных
Côte d'Ivoire,,51,-,Недостаточно данных
Rwanda,,51,-,Недостаточно данных
Honduras,,51,-,Недостаточно данных
Ghana,,51,-,Недостаточно данных
Cuba,39,51,"12 п.",Снижение
Trinidad and Tobago,41,,-,Недостаточно данных
Netherlands,15,,-,Недостаточно данных
Tajikistan,16,,-,Недостаточно данных
Belgium,17,,-,Недостаточно данных
Italy,19,,-,Недостаточно данных
Czechia,21,,-,Недостаточно данных
Ireland,28,,-,Недостаточно данных
Romania,31,,-,Недостаточно данных
Portugal,33,,-,Недостаточно данных
Slovenia,33,,-,Недостаточно данных
India,33,,-,Недостаточно данных
Iceland,33,,-,Недостаточно данных
Viet Nam,37,,-,Недостаточно данных
Malta,39,,-,Недостаточно данных
Tunisia,41,,-,Недостаточно данных
Georgia,41,,-,Недостаточно данных
Brunei Darussalam,41,,-,Недостаточно данных
Canada,11,,-,Недостаточно данных
Argentina,41,,-,Недостаточно данных
North Macedonia,41,,-,Недостаточно данных
Türkiye,3,,-,Недостаточно данных
United Kingdom,2,,-,Недостаточно данных
